company name,address,site code,audit result,audit grade,audit type,previous audit date,previous audit grade,certificate issue date,certificate expiry date,fundamental,critical,major,minor,auditor company,auditor name,audit start date,audit finish date,total_ncs
1176615 Van Drunen Farms Company,"9826 East 3000 North Road Momence, IL 60954",1176615,certificated,aa,announced,12/9/2020,aa,12/28/2021,12/25/2022,0,0,0,2,"Mérieux NutriSciences Certification LLC, 111 East Wacker Drive, Ste 2300, Chicago, IL 60601 USA",melissa ames,1  2021-11-10  0800  1700,12/2/2021,2
1176615 Van Drunen Farms Company,"9826 East 3000 North Road Momence, IL 60954",1176615,certificated,aa,announced,12/9/2020,aa,12/28/2021,12/25/2022,0,0,0,2,"Mérieux NutriSciences Certification LLC, 111 East Wacker Drive, Ste 2300, Chicago, IL 60601 USA",melissa ames,1  2021-11-10  0800  1700,12/2/2021,2
2949920 M/S. Accura Enterprises Pvt. Ltd Company,"Survey Number- 150, Sardar Patel Ring Road Near. Gujarat Police Academy Village Karai Dist. Gandhinagar Gujarat- 382355",2949920,certificated,a,announced,12/24/2020,a,2/7/2022,2/2/2023,0,0,0,8,Telephone: +44 (0) 1902 627 200      Email: auditadmin@eurofins.com,nabi malla,1  2021-12-27  9:00  18:30,12/28/2021,8
2949920 M/S. Accura Enterprises Pvt. Ltd Company,"Survey Number- 150, Sardar Patel Ring Road Near. Gujarat Police Academy Village Karai Dist. Gandhinagar Gujarat- 382355",2949920,certificated,a,announced,12/24/2020,a,2/7/2022,2/2/2023,0,0,0,8,Telephone: +44 (0) 1902 627 200      Email: auditadmin@eurofins.com,nabi malla,1  2021-12-27  9:00  18:30,12/28/2021,8
3640921 Conestoga Meat Packers Ltd Company,"313 Menno Street, RR#2 Breslau Ontario N0B 1M0",3640921,certificated,aa,announced,8/27/2018,aa,10/15/2019,10/24/2020,0,0,0,3,"Eurofins Scientific, Inc. – 2200 Rittenhouse Street, Suite 175  Des Moines, Iowa 50321",aaron campbell,1 (start date)  2019-09-09  09:00  17:00,9/11/2019,3
3640921 Conestoga Meat Packers Ltd Company,"313 Menno Street, RR#2 Breslau Ontario N0B 1M0",3640921,certificated,aa,announced,8/27/2018,aa,10/15/2019,10/24/2020,0,0,0,3,"Eurofins Scientific, Inc. – 2200 Rittenhouse Street, Suite 175  Des Moines, Iowa 50321",aaron campbell,1 (start date)  2019-09-09  09:00  17:00,9/11/2019,3
6527443 Steck Wholesale Foods Company,"1001 River Drive North Sioux City, South Dakota 57049",6527443,certificated,aa,announced,3/30/2018,aa,5/17/2019,5/29/2020,0,0,0,5,"FoodChain ID Certification (FCIDC) 500 North 3rd Street Suite 204 Fairfield, IA 52556",mike sentany,1 (start date)  2019-03-28  08:00  18:00,3/29/2019,5
"7262096 QualiTech, Inc. Company","150 Jonathan Boulevard N, Chaska, Minnesota 55318",7262096,certificated,aa,announced,3/12/2019,aa,3/26/2020,4/24/2021,0,0,0,1,"NSF Certification, LLC - 789 N. Dixboro Road, Ann Arbor, MI 48105, USA",f834 english food template v2 9th january 2019  page 2 of 35  audit# - customer#: 2335541 -  auditor:: june raab,Day 1  2020-03-03  08:00  17:00,3/4/2020,1
"7262096 QualiTech, Inc. Company","150 Jonathan Boulevard N, Chaska, Minnesota 55318",7262096,certificated,aa,announced,3/12/2019,aa,3/26/2020,4/24/2021,0,0,0,1,"NSF Certification, LLC - 789 N. Dixboro Road, Ann Arbor, MI 48105, USA",f834 english food template v2 9th january 2019  page 2 of 35  audit# - customer#: 2335541 -  auditor:: june raab,Day 1  2020-03-03  08:00  17:00,3/4/2020,1
AGROMAR INDUSTRIAL S.A. - 7987913 Company,Carretera Sullana Tambo Grande S/N (Referencia Km 07) – Piura,7987913,certificated,aa,announced,12/12/2019,a,1/7/2021,1/22/2022,0,0,0,3,"LSQA S.A., Av. Italia 6201, Los Tilos, Montevideo, Uruguay",lewis zegarra - 222037,1 (start date)  2020-12-09  14:00  18:00,12/11/2020,3
Antepsan Kuruyemis Gida San. Tic. Ltd. Sti. 5138231 Company,5. OSB 83524 nolu sok. No:14 Şehitkamil /Gaziantep,5138231,certificated,a,announced,,,12/22/2019,1/2/2021,0,0,0,6,"AIB International Certification Services, Inc. – 1213 Bakers Way, PO Box 3999, Manhattan, KS 66505-3999",emrah koşucu,1 (start date)  2019-11-21  08:00  19:00,11/22/2019,6
BRC Site Company,"18602 Zerker Road Shafter, CA 93263",,certificated,a,announced,4/3/2018,a,5/4/2019,5/17/2020,0,0,0,10,"FSNS Certification and Audit, LLC. 199 West Rhapsody Drive, San Antonio, Texas 78216",a.  hines,1 (start date)  2019-04-02  08:00  17:00,4/3/2019,10
BRC Site Company,"6130 Yakima Valley Highway, Wapato, Washington",,certificated,aa,announced,6/20/2017,aa,,,0,0,0,5,"NSF Food Safety Certification, LLC - 789 N. Dixboro Road, Ann Arbor, MI 48105, USA",page 2 of 41  auditor:: parmjit dhillon,1  2018-07-03  10:30  17:30,7/5/2018,5
Company,"770 Cannery Rd. Northumberland, Pennsylvania 17857",1810230,certificated,aa,announced,6/9/2020,aa,5/24/2021,6/19/2022,0,0,0,2,"FoodChain ID Certification L.C. (FCIDC) 500 North 3rd Street Suite 204 Fairfield, IA 52556",matt demma,1  2021-05-03  08:30  20:30,5/4/2021,2
Company,"770 Cannery Rd. Northumberland, Pennsylvania 17857",1810230,certificated,aa,announced,6/9/2020,aa,5/24/2021,6/19/2022,0,0,0,2,"FoodChain ID Certification L.C. (FCIDC) 500 North 3rd Street Suite 204 Fairfield, IA 52556",matt demma,1  2021-05-03  08:30  20:30,5/4/2021,2
Company,"Wangheng Economic Development Zone, Xinghua, Jiangsu, 225755 Site Telephone",1852804,certificated,b,announced,8/8/2019,,,,0,0,1,7,"SGS United Kingdom Limited 217-221 London Road, Camberley, GU15 3EY, Tel 01276 697854 E-mail globalBRCGS@sgs.com",jay jing,1 (start date)  2020-05-21  09:00  18:35,5/22/2020,8
Company,"770 Cannery Rd. Northumberland, Pennsylvania 17857",1810230,certificated,aa,announced,6/9/2020,aa,5/24/2021,6/19/2022,0,0,0,2,"FoodChain ID Certification L.C. (FCIDC) 500 North 3rd Street Suite 204 Fairfield, IA 52556",matt demma,1  2021-05-03  08:30  20:30,5/4/2021,2
Conestoga Meat Packers Ltd. 3640921 Company,"313 Menno Street, RR#2 Breslau Ontario N0B 1M0",3640921,certificated,a,announced,9/9/2019,aa,9/24/2020,10/24/2021,0,0,0,8,SAI Global Pty Ltd 680 George street Sydney NSW Australia 2000,george deutsch,1 (start date) 2020-08-26 08:00 16:30,8/28/2020,8
"FRUIT TECH NATURAL, S.A. 1517530 Company","Ctra. Madrid - Cartagena, km 390 30100 Espinardo (MURCIA)",1517530,certificated,a+,unannounced,11/5/2019,a+,12/23/2020,1/22/2022,0,0,0,9,www.acerta-cert.com   -MAIL: acerta-cert@acerta-cert.com,j. vázquez / p. pugnaire,1 (start date)  2020-11-11  0830  1830,2020-11-12  re-audit due date  2021-12-11,9
"FRUIT TECH NATURAL, S.A. 1517530 Company","Ctra. Madrid - Cartagena, km 390 30100 Espinardo (MURCIA)",1517530,certificated,a+,unannounced,11/5/2019,a+,12/23/2020,1/22/2022,0,0,0,9,www.acerta-cert.com   -MAIL: acerta-cert@acerta-cert.com,j. vázquez / p. pugnaire,1 (start date)  2020-11-11  0830  1830,2020-11-12  re-audit due date  2021-12-11,9
H E Stringer Ltd - Tring 1462754 Company,Icknield Way Industrial Estate Tring Hertfordshire HP23 4JZ,,certificated,aa+,unannounce,8/24/2020,aa+,9/28/2021,11/14/2022,0,0,0,0,Certification Body name and address,f834 english food template v9 27/11/2020 page 2 of 96 report no. auditor:,1 8/18/2021 10.30 18.30,,0
Hanover Foods Centre Hall 4759814 Company,"3008 Penn Valley Pike, Centre Hall, Pennsylvania, 16828",4759814,certificated,aa,announced,6/17/2019,aa,12/28/2020,7/19/2021,0,0,0,4,"Quail Plaza – 7621 Little Avenue, Suite 200, Charlotte, NC, 28226, USA",alberto vargas,1 (start date) 2020-10-28 8:00 16:45,2020-11-11 re-audit due date 2021-06-07,4
Hanover Foods Centre Hall 4759814 Company,"3008 Penn Valley Pike, Centre Hall, Pennsylvania, 16828",4759814,certificated,aa,announced,6/17/2019,aa,12/28/2020,7/19/2021,0,0,0,4,"Quail Plaza – 7621 Little Avenue, Suite 200, Charlotte, NC, 28226, USA",alberto vargas,1 (start date) 2020-10-28 8:00 16:45,2020-11-11 re-audit due date 2021-06-07,4
International Taste Solutions 1463101 Company,Innovation House Abex Road Newbury Berkshire RG14 5EY,1463101,certificated,aa,announced,2/27/2019,aa,3/26/2020,4/10/2021,0,0,0,5,"UK Food Certification, Winnington Hall, Northwich, Cheshire CW8 4DU",john burnett,1 (start date)  2020-02-25  08:00  18:00,2/26/2020,5
International Taste Solutions 1463101 Company,Innovation House Abex Road Newbury Berkshire RG14 5EY,1463101,certificated,aa,announced,2/27/2019,aa,3/26/2020,4/10/2021,0,0,0,5,"UK Food Certification, Winnington Hall, Northwich, Cheshire CW8 4DU",john burnett,1 (start date)  2020-02-25  08:00  18:00,2/26/2020,5
