filename,company name,cleaned company name,audit result,audit grade,audit type,certificate issue date,certificate expiry date,critical,major,minor,auditor company,auditor name,audit start date,total_ncs
5d392cf8-68c1-4281-88fe-44bf78222c51_VDF---BRC-Audit-Report-12.25.22..pdf,1176615 Van Drunen Farms Company,Van Drunen Farms,certificated,aa,announced,12/28/2021,12/25/2022,0,0,2,"Mérieux NutriSciences Certification LLC, 111 East Wacker Drive, Ste 2300, Chicago, IL 60601 USA",melissa ames,1  2021-11-10  0800  1700,2
68857b1a-2adc-4aa6-baee-85e7f563b0d1_Food-Report-E02769_2021-22-Final.BRC.pdf,2949920 M/S. Accura Enterprises Pvt. Ltd Company,M/S. Accura Enterprises Pvt. Ltd,certificated,a,announced,2/7/2022,2/2/2023,0,0,8,Telephone: +44 (0) 1902 627 200      Email: auditadmin@eurofins.com,nabi malla,1  2021-12-27  9:00  18:30,8
b590ebde_3829_4d8e_a274_ffe9c258d26a_BRC_Audit_Report___Conestoga_Meat_Packers_Ltd._2019_Final.pdf,3640921 Conestoga Meat Packers Ltd Company,Conestoga Meat Packers Ltd,certificated,aa,announced,10/15/2019,10/24/2020,0,0,3,"Eurofins Scientific, Inc. – 2200 Rittenhouse Street, Suite 175  Des Moines, Iowa 50321",aaron campbell,1 (start date)  2019-09-09  09:00  17:00,3
e194f2aa-3b75-47fa-8739-ff69b98a9a2a_2019-BRC-Audit-Report..pdf,6527443 Steck Wholesale Foods Company,Steck Wholesale Foods,certificated,aa,announced,5/17/2019,5/29/2020,0,0,5,"FoodChain ID Certification (FCIDC) 500 North 3rd Street Suite 204 Fairfield, IA 52556",mike sentany,1 (start date)  2019-03-28  08:00  18:00,5
e413551b-1481-407b-8ec8-fb2f848fc41f_BRC Audit Report 2020 - QualiTech Inc_..pdf,"7262096 QualiTech, Inc. Company","QualiTech, Inc",certificated,aa,announced,3/26/2020,4/24/2021,0,0,1,"NSF Certification, LLC - 789 N. Dixboro Road, Ann Arbor, MI 48105, USA",f834 english food template v2 9th january 2019  page 2 of 35  audit# - customer#: 2335541 -  auditor:: june raab,Day 1  2020-03-03  08:00  17:00,1
Audit_BRC by LSQA_Agromar-Cieneguillo_Encore 12.11.20.pdf,AGROMAR INDUSTRIAL S.A. - 7987913 Company,AGROMAR INDUSTRIAL S.A,certificated,aa,announced,1/7/2021,1/22/2022,0,0,3,"LSQA S.A., Av. Italia 6201, Los Tilos, Montevideo, Uruguay",lewis zegarra - 222037,1 (start date)  2020-12-09  14:00  18:00,3
BRC.pdf,Antepsan Kuruyemis Gida San. Tic. Ltd. Sti. 5138231 Company,Antepsan Kuruyemis Gida San. Tic. Ltd. Sti,certificated,a,announced,12/22/2019,1/2/2021,0,0,6,"AIB International Certification Services, Inc. – 1213 Bakers Way, PO Box 3999, Manhattan, KS 66505-3999",emrah koşucu,1 (start date)  2019-11-21  08:00  19:00,6
2018-BRC-Audit-Report.pdf,ConAg Packing & Storage LLC Company,ConAg Packing & Storage LLC,certificated,aa,announced,,,0,0,5,"NSF Food Safety Certification, LLC - 789 N. Dixboro Road, Ann Arbor, MI 48105, USA",page 2 of 41  auditor:: parmjit dhillon,1  2018-07-03  10:30  17:30,5
d4f1870d-4935-4c50-aa17-92892cd2fdac_BRC-Audit-Report---Conestoga-Meat-Packers-Ltd.-2020-Final..pdf,Conestoga Meat Packers Ltd. 3640921 Company,Conestoga Meat Packers Ltd,certificated,a,announced,9/24/2020,10/24/2021,0,0,8,SAI Global Pty Ltd 680 George street Sydney NSW Australia 2000,george deutsch,1 (start date) 2020-08-26 08:00 16:30,8
fd38d42a-3e0f-4a6e-b358-9732882af3cc_BRCGS-Audit-Report-NC---FRUIT-TECH-NATURAL-2020.BRC.pdf,"FRUIT TECH NATURAL, S.A. 1517530 Company","FRUIT TECH NATURAL, S.A",certificated,a+,unannounced,12/23/2020,1/22/2022,0,0,9,www.acerta-cert.com   -MAIL: acerta-cert@acerta-cert.com,j. vázquez / p. pugnaire,1 (start date)  2020-11-11  0830  1830,9
fa32a60f-b4f6-476e-9929-2ad7d9b20768_P1F8-1680-6-Report.BRC.pdf,Furmano Food Company,Furmano Food,certificated,aa,announced,5/24/2021,6/19/2022,0,0,2,"FoodChain ID Certification L.C. (FCIDC) 500 North 3rd Street Suite 204 Fairfield, IA 52556",matt demma,1  2021-05-03  08:30  20:30,2
Food-100311230-BRC-Audit-Report.pdf,H E Stringer Ltd - Tring 1462754 Company,H E Stringer Ltd - Tring,certificated,aa+,unannounce,9/28/2021,11/14/2022,0,0,0,Certification Body name and address,f834 english food template v9 27/11/2020 page 2 of 96 report no. auditor:,1 8/18/2021 10.30 18.30,0
c9684d80-336f-4efa-8a1c-854c6762ad8c_Hanover-Centre-Hall-Audit-Report-7.19.21.BRC.pdf,Hanover Foods Centre Hall 4759814 Company,Hanover Foods Centre Hall,certificated,aa,announced,12/28/2020,7/19/2021,0,0,4,"Quail Plaza – 7621 Little Avenue, Suite 200, Charlotte, NC, 28226, USA",alberto vargas,1 (start date) 2020-10-28 8:00 16:45,4
bc18d4aa-3eba-4ea7-b491-2af0f791a2e6_0313-F-International-Taste-Solutions-Newbury-February-2020-Food-Summary-Report-Iss-1-1.BRC.pdf,International Taste Solutions 1463101 Company,International Taste Solutions,certificated,aa,announced,3/26/2020,4/10/2021,0,0,5,"UK Food Certification, Winnington Hall, Northwich, Cheshire CW8 4DU",john burnett,1 (start date)  2020-02-25  08:00  18:00,5
83de11cd-2ba2-46ad-9c2d-6fc22931d432_v2IRUPE-PARAGUAY-S.A._20130590_V1R_Audit-Report.BRC.pdf,IRUPE PARAGUAY S.A. 1479861 Company,IRUPE PARAGUAY S.A,certificated,aa,remote,1/4/2022,1/7/2023,0,0,0,"SGS United Kingdom Limited 217-221 London Road, Camberley, GU15 3EY, Tel 01276 697854 E-mail globalbrc@sgs.com",claudia taddey,1  2021-11-22  08:55  18:40,0
brc-katech-auditreport-ex-25042022.pdf,KaTech Ingredient Solutions GmbH 4807241 Company,KaTech Ingredient Solutions GmbH,certificated,a,announced,3/29/2021,4/25/2022,0,0,10,"AIB International Certification Services, Inc. – 1213 Bakers Way, PO Box 3999, Manhattan, KS 66505-3999, USA",ralph geyer,1  2021-02-15  08:30  17:30,10
